cfg,rep,seed_12345,seed_67890,seed_13579,delta_q48,position_effect
15,20,64512,64768,64256,512,1
15,21,64512,64512,64512,0,0
15,22,63232,64512,64512,1280,1
15,23,64512,64512,64512,0,0
15,24,64512,64768,64512,256,1
15,25,64512,64768,63488,1280,1
15,26,64512,64512,64512,0,0
15,27,64512,64512,64512,0,0
15,28,64512,64768,64512,256,1
15,29,64512,64512,64512,0,0
