"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst","L1234","L567","speed_norm","stability_norm","optimality_score","steady_state_score","optimality_rank","optimality_percentile","is_top5pct"
"1110101",244,"1","1","1","0","1","0","1",300,34430858.0371414,6611007.62037508,381686.702923822,26910150.3274828,77468473.388136,19.2008215805823,48,FALSE,FALSE,"1110","101",0.10177243206131,0.413542393423119,0.425881367385092,0.288834408878395,47,64.0625,FALSE
"1000001",192,"1","0","0","0","0","0","1",300,34430119.0523706,6615947.66442143,381971.916499819,26755476.048878,83625057.1446345,19.2155817247048,47,FALSE,FALSE,"1000","001",0.101745935853003,0.414666618671535,0.426966790398372,0.289498345544122,48,63.28125,FALSE
"1010101",212,"1","0","1","0","1","0","1",300,34290417.9758335,6670593.48620646,385126.894491587,27238791.3085981,103900943.299711,19.4532288609244,35,FALSE,FALSE,"1010","101",0.0967369708906802,0.432767316641261,0.443447394726795,0.298355178341029,49,62.5,FALSE
"0100101",164,"0","1","0","0","1","0","1",300,31962112.015167,6298255.53226419,363629.952697778,25112722.5132193,97222910.8055988,19.7053796985489,11,FALSE,FALSE,"0100","101",0.0132558462806449,0.451972707571942,0.452167055246762,0.276485963055423,50,61.71875,FALSE
"1010011",210,"1","0","1","0","0","1","1",300,35164644.8222528,6930742.83591813,400146.62420014,27478046.4856699,81291838.6776272,19.7094066240425,63,FALSE,FALSE,"1010","011",0.128082267229,0.452279423500717,0.470065680624167,0.32260056099203,51,60.9375,FALSE
"1100001",224,"1","1","0","0","0","0","1",300,35584010.8171043,7085440.28982022,409078.085865473,27028860.6158631,75456499.2597201,19.9118652650994,64,FALSE,FALSE,"1100","001",0.143118583531428,0.467699944746743,0.489107521173155,0.337867400260617,52,60.15625,FALSE
"0001011",138,"0","0","0","1","0","1","1",300,45947190.7354277,6389089.61783174,368874.26107318,38861726.8553655,64348445.7462786,13.9052889100909,65,FALSE,FALSE,"0001","011",0.514689128267786,0.0102013770651586,0.514790216351359,0.21199647754621,53,59.375,FALSE
"1100010",225,"1","1","0","0","0","1","0",300,34738622.0432674,7159936.09838244,413379.103378162,26738091.0268829,88357801.7756054,20.6108811381886,57,FALSE,FALSE,"1100","010",0.112807272748029,0.520941382435008,0.533015388819259,0.357687738560216,54,58.59375,FALSE
"1000111",198,"1","0","0","0","1","1","1",300,34366301.6069318,7143004.52969828,412401.558804402,27107879.4721173,112713242.049322,20.7849090408306,43,FALSE,FALSE,"1000","111",0.099457769175182,0.534196440140045,0.543376190596902,0.3603009717541,55,57.8125,FALSE
"1110010",241,"1","1","1","0","0","1","0",300,35140240.8524328,7288304.69008182,420790.467475475,27350745.6085314,97280744.3963564,20.7406224695163,62,FALSE,FALSE,"1110","010",0.1272072658847,0.530823296814075,0.54585260000702,0.369376884442325,56,57.03125,FALSE
