timestamp,run_id,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate,L1_heat,L2_window,L3_decay,L4_pipeline,L5_win_inf,L6_decay_inf,L7_heartrate,total_lookups,cache_hits,cache_hit_pct,bucket_hits,bucket_hit_pct,cache_lat_ns,cache_lat_std,bucket_lat_ns,bucket_lat_std,ctx_pred_total,ctx_correct,ctx_acc_pct,cache_promos,cache_demos,win_diversity_pct,win_final_bytes,win_width,win_total_exec,win_var_q48,decay_slope,total_heat,hot_words,stale_words,stale_ratio,avg_heat,tick_count,tick_target_ns,infer_runs,early_exits,prefetch_acc_pct,prefetch_attempts,prefetch_hits,win_tune_checks,final_win_size,workload_ns_q48,runtime_ms,words_exec,dict_lookups,mem_bytes,speedup,ci_lower,ci_upper,cpu_temp_delta,cpu_freq_delta,decay_rate_q16,decay_min_ns,rolling_win_size,shrink_rate,demotion_thresh,hotwords_enabled,pipelining_enabled
2025-11-22 09:02:40,161,0,0,0,0,1,0,1,11,0,0,0,0,1,0,1,3991,0,0.00,3272,81.98,0,0,38,1886,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,124575285248,0,4501,4395,0,1.0000,0.000000,0.000000,0,458752,1,1000,4096,75,10,1,1
2025-11-22 09:02:46,1882,0,1,1,1,1,1,0,22,0,1,1,1,1,1,0,3991,294,7.37,2978,74.62,37,1525,43,2587,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,196878008320,0,4501,4395,0,1.0000,0.000000,0.000000,0,-9043968,1,1000,4096,75,10,1,1
2025-11-22 09:02:53,2295,1,0,0,1,1,0,0,15,1,0,0,1,1,0,0,3991,1429,35.81,1843,46.18,33,1322,58,4768,851,752,88.37,19,0,0.00,4096,4096,0,0,0.333328,785,10,20,0.070175,2.754386,0,1000000,0,0,88.37,851,752,0,4096,201290350592,0,4501,4395,0,1.0000,0.000000,0.000000,0,1441792,1,1000,4096,75,10,1,1
2025-11-22 09:03:01,2853,1,0,1,1,1,1,1,3,1,0,1,1,1,1,1,3991,1251,31.35,2021,50.64,32,1163,57,4258,851,752,88.37,15,0,0.00,4096,4096,0,0,0.333328,514,7,25,0.087719,1.803509,0,1000000,0,0,88.37,851,752,0,4096,235163877376,0,4501,4395,0,1.0000,0.000000,0.000000,0,196608,1,1000,4096,75,10,1,1
2025-11-22 09:03:08,1226,0,1,0,1,0,0,0,26,0,1,0,1,0,0,0,3991,294,7.37,2978,74.62,40,1912,48,3362,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,220022767616,0,4501,4395,0,1.0000,0.000000,0.000000,0,0,1,1000,4096,75,10,1,1
2025-11-22 09:03:16,1862,0,1,1,1,1,1,0,2,0,1,1,1,1,1,0,3991,294,7.37,2978,74.62,37,1512,47,3202,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,206782398464,0,4501,4395,0,1.0000,0.000000,0.000000,0,12255232,1,1000,4096,75,10,1,1
2025-11-22 09:03:24,1860,0,1,1,1,1,0,1,30,0,1,1,1,1,0,1,3991,294,7.37,2978,74.62,43,2090,56,4180,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,245872918528,0,4501,4395,0,1.0000,0.000000,0.000000,0,25624576,1,1000,4096,75,10,1,1
2025-11-22 09:03:31,2776,1,0,1,1,1,0,0,16,1,0,1,1,1,0,0,3991,1246,31.22,2026,50.76,44,2267,80,9437,851,752,88.37,15,0,0.00,4096,4096,0,0,0.333328,513,8,25,0.087719,1.800000,0,1000000,0,0,88.37,851,752,0,4096,279392944128,0,4501,4395,0,1.0000,0.000000,0.000000,0,-8454144,1,1000,4096,75,10,1,1
2025-11-22 09:03:39,1203,0,1,0,1,0,0,0,3,0,1,0,1,0,0,0,3991,294,7.37,2978,74.62,55,4208,56,6225,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,266095951872,0,4501,4395,0,1.0000,0.000000,0.000000,0,-97845248,1,1000,4096,75,10,1,1
2025-11-22 09:03:46,2611,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,3991,1089,27.29,2183,54.70,48,2553,78,14066,0,0,0.00,7,0,0.00,4096,4096,0,0,0.333328,540,5,27,0.094737,1.894737,0,1000000,0,0,0.00,0,0,0,4096,216111644672,0,4501,4395,0,1.0000,0.000000,0.000000,0,-57081856,1,1000,4096,75,10,1,1
