"tick_count","duration_ns","mean_interval_ns","sd_interval_ns","mean_heat","max_heat","mean_hot_words","max_hot_words","mean_jitter_ns","sd_jitter_ns","run_id","init_script","replicate","cv_interval"
25,5863084,21014731523411.1,105073657250785,0.00033144,0.000714,6.32,12,21014731513411.1,105073657250785,127,"init-l8-temporal.4th",9,4.99999998257077
26,6967919,20206472895070.3,103033199204525,0.000350230769230769,0.000694,6.23076923076923,14,20206472885070.3,103033199204525,128,"init-l8-volatile.4th",16,5.09901949437508
25,7195668,21014732097316,105073660006564,0.00034844,0.00073,6.44,14,21014732087316,105073660006564,129,"init-l8-diverse.4th",12,4.99999997715812
18,6867407,29187128272514.6,123830497619760,0.000299277777777778,0.000681,6.55555555555556,13,29187128262514.6,123830497619760,130,"init-l8-transition.4th",24,4.24264067583416
26,7110835,20206473717541.1,103033203390210,0.000357653846153846,0.000986,6.15384615384615,13,20206473707541.1,103033203390210,131,"init-l8-volatile.4th",12,5.09901949397375
15,8635044,35024554972037.2,135649517768770,0.0007618,0.002823,6.46666666666667,13,35024554962037.2,135649517768770,132,"init-l8-volatile.4th",29,3.87298333632131
28,7093116,18763154739186.3,99285282112292.3,0.000302571428571429,0.000738,5.82142857142857,13,18763154729186.3,99285282112292.3,133,"init-l8-stable.4th",14,5.29150260136895
24,5955659,21890347434804.4,107240362640681,0.000350375,0.000801,6.875,14,21890347424804.4,107240362640681,134,"init-l8-temporal.4th",14,4.89897946846541
15,6761958,35024556367606.5,135649522970329,0.000274866666666667,0.000544,7.26666666666667,14,35024556357606.5,135649522970329,135,"init-l8-transition.4th",21,3.87298333051232
24,6397637,21890347998798.2,107240365363275,0.000326125,0.000662,6.375,14,21890347988798.2,107240365363275,136,"init-l8-omni.4th",3,4.89897946661982
25,5800585,21014734307584.6,105073671177510,0.00031668,0.000663,5.84,13,21014734297584.6,105073671177510,137,"init-l8-omni.4th",25,4.99999998284952
25,6622066,21014734574039.4,105073672496571,0.0003274,0.000705,6.84,14,21014734564039.4,105073672496571,138,"init-l8-volatile.4th",7,4.99999998222076
24,5663063,21890348751700.9,107240369105517,0.000337125,0.000654,6.08333333333333,12,21890348741700.9,107240369105517,139,"init-l8-transition.4th",7,4.89897946907697
23,5864024,22842103299831.2,109546878709661,0.000340391304347826,0.000721,7.04347826086957,15,22842103289831.2,109546878709661,140,"init-l8-stable.4th",25,4.795831507796
25,6067291,21014735288585.1,105073676070502,0.00032928,0.000643,6.76,14,21014735278585.1,105073676070502,141,"init-l8-diverse.4th",29,4.99999998227799
25,6140471,21014735535632.1,105073677308329,0.00032828,0.000699,6.48,14,21014735525632.1,105073677308329,142,"init-l8-volatile.4th",22,4.99999998240133
26,7101311,20206476755233.6,103033218903510,0.000333961538461538,0.000687,5.84615384615385,12,20206476745233.6,103033218903510,143,"init-l8-stable.4th",22,5.09901949516376
24,6427909,21890350083833,107240375625216,0.000345333333333333,0.000694,6.41666666666667,13,21890350073833,107240375625216,144,"init-l8-transition.4th",25,4.8989794687851
26,7280117,20206477287395.3,103033221605262,0.000342307692307692,0.000737,6.61538461538461,14,20206477277395.3,103033221605262,145,"init-l8-omni.4th",4,5.09901949458222
26,6447726,20206477541476,103033222889946,0.000301038461538462,0.000637,6.26923076923077,14,20206477531476,103033222889946,146,"init-l8-diverse.4th",24,5.09901949404389
25,6175062,21014736887084,105073684075116,0.00033116,0.000669,6.56,14,21014736877084,105073684075116,147,"init-l8-transition.4th",13,4.99999998285467
